Numero de documentos (tweets) del corpus: 18046
Número de palabras del corpus: 319857
Palabra: annual Freq: 19 LogProb: -9.74436532449099
Palabra: another Freq: 168 LogProb: -7.564840324254171
Palabra: answer Freq: 107 LogProb: -8.015975469195524
Palabra: anti Freq: 19 LogProb: -9.74436532449099
Palabra: antibacterial Freq: 23 LogProb: -9.553310087728281
Palabra: anticipate Freq: 16 LogProb: -9.91621558141765
Palabra: anticipation Freq: 7 LogProb: -10.742894154602117
Palabra: anxiety Freq: 35 LogProb: -9.133456242168016
Palabra: anxious Freq: 18 LogProb: -9.798432545761266
Palabra: any Freq: 58 LogProb: -8.628361293111011
Palabra: anybody Freq: 16 LogProb: -9.91621558141765
Palabra: anymore Freq: 21 LogProb: -9.644281865934007
Palabra: anyone Freq: 266 LogProb: -7.105307994875731
Palabra: anything Freq: 128 LogProb: -7.836774039737813
Palabra: anytime Freq: 8 LogProb: -10.609362761977595
Palabra: anyway Freq: 27 LogProb: -9.392967437653102
Palabra: anywhere Freq: 39 LogProb: -9.025242657527784
Palabra: ap Freq: 3 LogProb: -11.59019201498932
Palabra: apart Freq: 80 LogProb: -8.306777668983548
Palabra: apartment Freq: 13 LogProb: -10.123854946195893
Palabra: apocalypse Freq: 19 LogProb: -9.74436532449099
Palabra: apologise Freq: 12 LogProb: -10.20389765386943
Palabra: apologize Freq: 8 LogProb: -10.609362761977595
Palabra: app Freq: 79 LogProb: -8.319356451190409
Palabra: appal Freq: 2 LogProb: -11.995657123097486
Palabra: apparent Freq: 7 LogProb: -10.742894154602117
Palabra: apparently Freq: 45 LogProb: -8.882141813887111
Palabra: appeal Freq: 32 LogProb: -9.223068400857704
Palabra: appear Freq: 35 LogProb: -9.133456242168016
Palabra: applaud Freq: 24 LogProb: -9.510750473309486
Palabra: apple Freq: 27 LogProb: -9.392967437653102
Palabra: appliance Freq: 12 LogProb: -10.20389765386943
Palabra: application Freq: 21 LogProb: -9.644281865934007
Palabra: apply Freq: 73 LogProb: -8.39834486250904
Palabra: appointment Freq: 17 LogProb: -9.855590959601214
Palabra: appreciate Freq: 145 LogProb: -7.712070561236856
Palabra: appreciated Freq: 12 LogProb: -10.20389765386943
Palabra: appreciation Freq: 33 LogProb: -9.19229674219095
Palabra: approach Freq: 37 LogProb: -9.077886391013205
Palabra: appropriate Freq: 13 LogProb: -10.123854946195893
Palabra: approval Freq: 14 LogProb: -10.049746974042172
Palabra: approve Freq: 69 LogProb: -8.45469779906017
Palabra: approximately Freq: 8 LogProb: -10.609362761977595
Palabra: apps Freq: 38 LogProb: -9.051218143931045
Palabra: apr Freq: 12 LogProb: -10.20389765386943
Palabra: april Freq: 149 LogProb: -7.684857997711971
Palabra: ar Freq: 3 LogProb: -11.59019201498932
Palabra: arab Freq: 5 LogProb: -11.07936639122333
Palabra: arabia Freq: 18 LogProb: -9.798432545761266
Palabra: are Freq: 142 LogProb: -7.73297724605617
Palabra: area Freq: 176 LogProb: -7.518320308619279
Palabra: argue Freq: 13 LogProb: -10.123854946195893
Palabra: argument Freq: 9 LogProb: -10.491579726321211
Palabra: arise Freq: 7 LogProb: -10.742894154602117
Palabra: arizona Freq: 6 LogProb: -10.897044834429375
Palabra: arm Freq: 23 LogProb: -9.553310087728281
Palabra: army Freq: 21 LogProb: -9.644281865934007
Palabra: around Freq: 293 LogProb: -7.008631694640363
Palabra: arrange Freq: 9 LogProb: -10.491579726321211
Palabra: arrangement Freq: 12 LogProb: -10.20389765386943
Palabra: arrest Freq: 8 LogProb: -10.609362761977595
Palabra: arrival Freq: 5 LogProb: -11.07936639122333
Palabra: arrive Freq: 36 LogProb: -9.10528536520132
Palabra: arsehole Freq: 3 LogProb: -11.59019201498932
Palabra: art Freq: 28 LogProb: -9.356599793482227
Palabra: article Freq: 151 LogProb: -7.671524466842506
Palabra: artificial Freq: 8 LogProb: -10.609362761977595
Palabra: artist Freq: 26 LogProb: -9.430707765635947
Palabra: as Freq: 417 LogProb: -6.655718081858629
Palabra: asap Freq: 22 LogProb: -9.597761850299115
Palabra: asda Freq: 12 LogProb: -10.20389765386943
Palabra: ashamed Freq: 9 LogProb: -10.491579726321211
Palabra: ashley Freq: 3 LogProb: -11.59019201498932
Palabra: asia Freq: 20 LogProb: -9.693072030103439
Palabra: asian Freq: 40 LogProb: -8.999924849543493
Palabra: aside Freq: 24 LogProb: -9.510750473309486
Palabra: ask Freq: 306 LogProb: -6.965219201705049
Palabra: aspect Freq: 13 LogProb: -10.123854946195893
Palabra: ass Freq: 7 LogProb: -10.742894154602117
Palabra: assault Freq: 1 LogProb: -12.688804303657431
Palabra: assess Freq: 12 LogProb: -10.20389765386943
Palabra: assessment Freq: 10 LogProb: -10.386219210663384
Palabra: asset Freq: 52 LogProb: -8.737560585076004
Palabra: asshole Freq: 14 LogProb: -10.049746974042172
Palabra: assist Freq: 33 LogProb: -9.19229674219095
Palabra: assistance Freq: 69 LogProb: -8.45469779906017
Palabra: assistant Freq: 21 LogProb: -9.644281865934007
Palabra: associate Freq: 42 LogProb: -8.951134685374061
Palabra: association Freq: 25 LogProb: -9.46992847878923
Palabra: assume Freq: 18 LogProb: -9.798432545761266
Palabra: assure Freq: 47 LogProb: -8.838656701947372
Palabra: asthma Freq: 7 LogProb: -10.742894154602117
Palabra: asymptomatic Freq: 13 LogProb: -10.123854946195893
Palabra: at Freq: 193 LogProb: -7.4261141147525445
Palabra: athlete Freq: 11 LogProb: -10.29090903085906
Palabra: atlanta Freq: 10 LogProb: -10.386219210663384
Palabra: atleast Freq: 8 LogProb: -10.609362761977595
Palabra: atm Freq: 24 LogProb: -9.510750473309486
Palabra: attach Freq: 6 LogProb: -10.897044834429375
Palabra: attack Freq: 8 LogProb: -10.609362761977595
Palabra: attempt Freq: 28 LogProb: -9.356599793482227
Palabra: attend Freq: 19 LogProb: -9.74436532449099
Palabra: attendant Freq: 22 LogProb: -9.597761850299115
Palabra: attention Freq: 35 LogProb: -9.133456242168016
Palabra: attitude Freq: 29 LogProb: -9.321508473670956
Palabra: attorney Freq: 32 LogProb: -9.223068400857704
Palabra: attract Freq: 9 LogProb: -10.491579726321211
Palabra: au Freq: 7 LogProb: -10.742894154602117
Palabra: auction Freq: 5 LogProb: -11.07936639122333
Palabra: audience Freq: 8 LogProb: -10.609362761977595
Palabra: aussie Freq: 13 LogProb: -10.123854946195893
Palabra: austin Freq: 14 LogProb: -10.049746974042172
Palabra: australia Freq: 54 LogProb: -8.699820257093156
Palabra: australian Freq: 51 LogProb: -8.756978670933105
Palabra: author Freq: 8 LogProb: -10.609362761977595
Palabra: authority Freq: 63 LogProb: -8.545669577265897
Palabra: auto Freq: 30 LogProb: -9.287606921995275
Palabra: automatically Freq: 11 LogProb: -10.29090903085906
Palabra: automation Freq: 8 LogProb: -10.609362761977595
Palabra: automotive Freq: 7 LogProb: -10.742894154602117
Palabra: avail Freq: 6 LogProb: -10.897044834429375
Palabra: availability Freq: 29 LogProb: -9.321508473670956
Palabra: available Freq: 338 LogProb: -6.865758408174412
Palabra: average Freq: 41 LogProb: -8.975232236953122
Palabra: avoid Freq: 169 LogProb: -7.558905588734357
Palabra: await Freq: 11 LogProb: -10.29090903085906
Palabra: award Freq: 11 LogProb: -10.29090903085906
Palabra: aware Freq: 54 LogProb: -8.699820257093156
Palabra: awareness Freq: 32 LogProb: -9.223068400857704
Palabra: away Freq: 189 LogProb: -7.447057288597788
Palabra: awesome Freq: 42 LogProb: -8.951134685374061
Palabra: awful Freq: 10 LogProb: -10.386219210663384
Palabra: b Freq: 95 LogProb: -8.13492741205689
Palabra: baby Freq: 60 LogProb: -8.59445974143533
Palabra: back Freq: 424 LogProb: -6.639070848425472
Palabra: bacon Freq: 10 LogProb: -10.386219210663384
Palabra: bacteria Freq: 23 LogProb: -9.553310087728281
Palabra: bacterial Freq: 10 LogProb: -10.386219210663384
Palabra: bad Freq: 100 LogProb: -8.08363411766934
Palabra: badly Freq: 8 LogProb: -10.609362761977595
Palabra: bag Freq: 138 LogProb: -7.761550618500226
Palabra: bail Freq: 16 LogProb: -9.91621558141765
Palabra: bailout Freq: 13 LogProb: -10.123854946195893
Palabra: bailouts Freq: 14 LogProb: -10.049746974042172
Palabra: bake Freq: 10 LogProb: -10.386219210663384
Palabra: baked Freq: 9 LogProb: -10.491579726321211
Palabra: baker Freq: 14 LogProb: -10.049746974042172
Palabra: bakery Freq: 21 LogProb: -9.644281865934007
Palabra: balance Freq: 20 LogProb: -9.693072030103439
Palabra: ball Freq: 12 LogProb: -10.20389765386943
Palabra: ban Freq: 47 LogProb: -8.838656701947372
Palabra: banana Freq: 17 LogProb: -9.855590959601214
Palabra: band Freq: 9 LogProb: -10.491579726321211
Palabra: bandana Freq: 10 LogProb: -10.386219210663384
Palabra: bank Freq: 385 LogProb: -6.735560969369646
Palabra: banker Freq: 21 LogProb: -9.644281865934007
Palabra: banking Freq: 13 LogProb: -10.123854946195893
Palabra: bankrupt Freq: 1 LogProb: -12.688804303657431
Palabra: bankruptcy Freq: 10 LogProb: -10.386219210663384
Palabra: bar Freq: 58 LogProb: -8.628361293111011
Palabra: bare Freq: 40 LogProb: -8.999924849543493
Palabra: barely Freq: 11 LogProb: -10.29090903085906
Palabra: bargain Freq: 21 LogProb: -9.644281865934007
Palabra: barrel Freq: 21 LogProb: -9.644281865934007
Palabra: barren Freq: 5 LogProb: -11.07936639122333
Palabra: barrier Freq: 15 LogProb: -9.98075410255522
Palabra: base Freq: 193 LogProb: -7.4261141147525445
Palabra: bash Freq: 8 LogProb: -10.609362761977595
Palabra: basic Freq: 105 LogProb: -8.034843953499907
Palabra: basically Freq: 21 LogProb: -9.644281865934007
Palabra: basis Freq: 21 LogProb: -9.644281865934007
