Numero de documentos (tweets) del corpus: 18046
Número de palabras del corpus: 320685
Palabra: arab Freq: 5 LogProb: -11.092942480637129
Palabra: arabia Freq: 19 LogProb: -9.75794141390479
Palabra: arbitrage Freq: 4 LogProb: -11.31608603195134
Palabra: are Freq: 141 LogProb: -7.753620502693061
Palabra: area Freq: 176 LogProb: -7.531896398033078
Palabra: arent Freq: 6 LogProb: -10.910620923843174
Palabra: argentina Freq: 2 LogProb: -12.009233212511285
Palabra: argo Freq: 2 LogProb: -12.009233212511285
Palabra: arguably Freq: 3 LogProb: -11.60376810440312
Palabra: argue Freq: 13 LogProb: -10.137431035609692
Palabra: argument Freq: 9 LogProb: -10.50515581573501
Palabra: arise Freq: 7 LogProb: -10.756470244015917
Palabra: arizona Freq: 6 LogProb: -10.910620923843174
Palabra: arkansas Freq: 2 LogProb: -12.009233212511285
Palabra: arm Freq: 23 LogProb: -9.56688617714208
Palabra: armed Freq: 3 LogProb: -11.60376810440312
Palabra: army Freq: 21 LogProb: -9.657857955347806
Palabra: around Freq: 293 LogProb: -7.022207784054163
Palabra: arrange Freq: 9 LogProb: -10.50515581573501
Palabra: arrangement Freq: 12 LogProb: -10.217473743283229
Palabra: arrest Freq: 8 LogProb: -10.622938851391394
Palabra: arrested Freq: 1 LogProb: -12.70238039307123
Palabra: arrival Freq: 5 LogProb: -11.092942480637129
Palabra: arrive Freq: 36 LogProb: -9.11886145461512
Palabra: arrogant Freq: 1 LogProb: -12.70238039307123
Palabra: arrow Freq: 4 LogProb: -11.31608603195134
Palabra: arrows Freq: 3 LogProb: -11.60376810440312
Palabra: arse Freq: 7 LogProb: -10.756470244015917
Palabra: arsehole Freq: 3 LogProb: -11.60376810440312
Palabra: art Freq: 29 LogProb: -9.335084563084756
Palabra: arthritis Freq: 5 LogProb: -11.092942480637129
Palabra: article Freq: 151 LogProb: -7.685100556256305
Palabra: artificial Freq: 8 LogProb: -10.622938851391394
Palabra: artificially Freq: 7 LogProb: -10.756470244015917
Palabra: artisanal Freq: 6 LogProb: -10.910620923843174
Palabra: artist Freq: 26 LogProb: -9.444283855049747
Palabra: artwork Freq: 5 LogProb: -11.092942480637129
Palabra: as Freq: 417 LogProb: -6.669294171272428
Palabra: asap Freq: 22 LogProb: -9.611337939712914
Palabra: asda Freq: 12 LogProb: -10.217473743283229
Palabra: ash Freq: 5 LogProb: -11.092942480637129
Palabra: ashamed Freq: 9 LogProb: -10.50515581573501
Palabra: ashley Freq: 3 LogProb: -11.60376810440312
Palabra: asia Freq: 20 LogProb: -9.706648119517238
Palabra: asian Freq: 40 LogProb: -9.013500938957293
Palabra: aside Freq: 24 LogProb: -9.524326562723283
Palabra: ask Freq: 306 LogProb: -6.978795291118849
Palabra: asking Freq: 4 LogProb: -11.31608603195134
Palabra: asks Freq: 3 LogProb: -11.60376810440312
Palabra: asleep Freq: 4 LogProb: -11.31608603195134
Palabra: aspect Freq: 13 LogProb: -10.137431035609692
Palabra: ass Freq: 7 LogProb: -10.756470244015917
Palabra: assam Freq: 4 LogProb: -11.31608603195134
Palabra: assault Freq: 1 LogProb: -12.70238039307123
Palabra: assess Freq: 12 LogProb: -10.217473743283229
Palabra: assessment Freq: 10 LogProb: -10.399795300077184
Palabra: asset Freq: 52 LogProb: -8.751136674489802
