Numero de documentos (tweets) del corpus: 15398
Número de palabras del corpus: 272513
Palabra: alphabet Freq: 3 LogProb: -11.445060528553853
Palabra: already Freq: 216 LogProb: -7.168394409537797
Palabra: alright Freq: 7 LogProb: -10.597762668166649
Palabra: also Freq: 393 LogProb: -6.569863205352701
Palabra: alter Freq: 7 LogProb: -10.597762668166649
Palabra: alternate Freq: 7 LogProb: -10.597762668166649
Palabra: alternative Freq: 24 LogProb: -9.365618986874017
Palabra: although Freq: 21 LogProb: -9.49915037949854
Palabra: altogether Freq: 6 LogProb: -10.751913347993908
Palabra: aluminium Freq: 4 LogProb: -11.157378456102071
Palabra: always Freq: 94 LogProb: -8.000378034951957
Palabra: am Freq: 19 LogProb: -9.599233838055522
Palabra: amanda Freq: 3 LogProb: -11.445060528553853
Palabra: amaze Freq: 4 LogProb: -11.157378456102071
Palabra: amazing Freq: 12 LogProb: -10.058766167433962
Palabra: amazon Freq: 91 LogProb: -8.032813310705112
Palabra: amazonsmile Freq: 2 LogProb: -11.850525636662017
Palabra: ambassador Freq: 2 LogProb: -11.850525636662017
Palabra: ambulance Freq: 8 LogProb: -10.464231275542126
Palabra: amen Freq: 1 LogProb: -12.543672817221962
Palabra: amend Freq: 7 LogProb: -10.597762668166649
Palabra: amendment Freq: 1 LogProb: -12.543672817221962
Palabra: amenity Freq: 4 LogProb: -11.157378456102071
Palabra: america Freq: 94 LogProb: -8.000378034951957
Palabra: american Freq: 217 LogProb: -7.163775463681502
Palabra: amid Freq: 493 LogProb: -6.343163643179272
Palabra: amidst Freq: 45 LogProb: -8.737010327451642
Palabra: ammo Freq: 18 LogProb: -9.653301059325797
Palabra: ammunition Freq: 9 LogProb: -10.346448239885742
Palabra: among Freq: 70 LogProb: -8.295177575172604
Palabra: amongst Freq: 16 LogProb: -9.77108409498218
Palabra: amount Freq: 89 LogProb: -8.055036447489822
Palabra: amp Freq: 531 LogProb: -6.268910795980023
Palabra: ample Freq: 10 LogProb: -10.241087724227917
Palabra: amplify Freq: 5 LogProb: -10.934234904787862
Palabra: amy Freq: 3 LogProb: -11.445060528553853
Palabra: amzn Freq: 6 LogProb: -10.751913347993908
Palabra: an Freq: 58 LogProb: -8.483229806675542
Palabra: analyse Freq: 5 LogProb: -10.934234904787862
Palabra: analysis Freq: 42 LogProb: -8.806003198938594
Palabra: analyst Freq: 41 LogProb: -8.830100750517655
Palabra: analytics Freq: 10 LogProb: -10.241087724227917
Palabra: analyze Freq: 5 LogProb: -10.934234904787862
Palabra: ancient Freq: 3 LogProb: -11.445060528553853
Palabra: and Freq: 299 LogProb: -6.843229243831275
Palabra: andrew Freq: 6 LogProb: -10.751913347993908
Palabra: android Freq: 1 LogProb: -12.543672817221962
Palabra: andy Freq: 4 LogProb: -11.157378456102071
Palabra: anecdote Freq: 3 LogProb: -11.445060528553853
Palabra: ang Freq: 4 LogProb: -11.157378456102071
Palabra: angel Freq: 6 LogProb: -10.751913347993908
Palabra: angela Freq: 5 LogProb: -10.934234904787862
Palabra: angeles Freq: 10 LogProb: -10.241087724227917
Palabra: anger Freq: 5 LogProb: -10.934234904787862
Palabra: angle Freq: 4 LogProb: -11.157378456102071
Palabra: angry Freq: 35 LogProb: -8.988324755732549
Palabra: anheuser Freq: 1 LogProb: -12.543672817221962
Palabra: animal Freq: 44 LogProb: -8.7594831833037
Palabra: animation Freq: 5 LogProb: -10.934234904787862
Palabra: anna Freq: 4 LogProb: -11.157378456102071
Palabra: anniversary Freq: 2 LogProb: -11.850525636662017
Palabra: annotated Freq: 1 LogProb: -12.543672817221962
Palabra: announce Freq: 97 LogProb: -7.968961838718579
Palabra: announced Freq: 3 LogProb: -11.445060528553853
Palabra: announcement Freq: 28 LogProb: -9.211468307046758
Palabra: announces Freq: 6 LogProb: -10.751913347993908
Palabra: annoy Freq: 19 LogProb: -9.599233838055522
Palabra: annoying Freq: 5 LogProb: -10.934234904787862
Palabra: annual Freq: 10 LogProb: -10.241087724227917
Palabra: annually Freq: 3 LogProb: -11.445060528553853
Palabra: anonymous Freq: 3 LogProb: -11.445060528553853
Palabra: another Freq: 199 LogProb: -7.25036799249747
Palabra: answer Freq: 59 LogProb: -8.466135373316243
Palabra: anthem Freq: 1 LogProb: -12.543672817221962
Palabra: anthony Freq: 4 LogProb: -11.157378456102071
Palabra: anti Freq: 46 LogProb: -8.715031420732867
Palabra: antibacterial Freq: 9 LogProb: -10.346448239885742
Palabra: antibiotic Freq: 2 LogProb: -11.850525636662017
Palabra: antibody Freq: 5 LogProb: -10.934234904787862
Palabra: anticipate Freq: 19 LogProb: -9.599233838055522
Palabra: anticipated Freq: 2 LogProb: -11.850525636662017
Palabra: anticipation Freq: 7 LogProb: -10.597762668166649
Palabra: antiviral Freq: 1 LogProb: -12.543672817221962
Palabra: antonio Freq: 7 LogProb: -10.597762668166649
Palabra: anxiety Freq: 120 LogProb: -7.756181074439916
Palabra: anxious Freq: 27 LogProb: -9.247835951217633
Palabra: any Freq: 52 LogProb: -8.592429098640535
Palabra: anybody Freq: 16 LogProb: -9.77108409498218
Palabra: anymore Freq: 20 LogProb: -9.547940543667972
Palabra: anyone Freq: 208 LogProb: -7.206134737520644
Palabra: anything Freq: 117 LogProb: -7.781498882424206
Palabra: anytime Freq: 6 LogProb: -10.751913347993908
Palabra: anyway Freq: 32 LogProb: -9.077936914422235
Palabra: anyways Freq: 4 LogProb: -11.157378456102071
Palabra: anywhere Freq: 40 LogProb: -8.854793363108026
Palabra: ap Freq: 10 LogProb: -10.241087724227917
Palabra: apart Freq: 46 LogProb: -8.715031420732867
Palabra: apartment Freq: 12 LogProb: -10.058766167433962
Palabra: apex Freq: 4 LogProb: -11.157378456102071
Palabra: apnea Freq: 1 LogProb: -12.543672817221962
Palabra: apocalypse Freq: 21 LogProb: -9.49915037949854
Palabra: apocalyptic Freq: 8 LogProb: -10.464231275542126
Palabra: apologise Freq: 4 LogProb: -11.157378456102071
Palabra: apologize Freq: 6 LogProb: -10.751913347993908
Palabra: app Freq: 26 LogProb: -9.28557627920048
Palabra: appal Freq: 17 LogProb: -9.710459473165747
Palabra: apparel Freq: 6 LogProb: -10.751913347993908
Palabra: apparent Freq: 9 LogProb: -10.346448239885742
Palabra: apparently Freq: 47 LogProb: -8.693525215511903
Palabra: appeal Freq: 18 LogProb: -9.653301059325797
Palabra: appear Freq: 48 LogProb: -8.672471806314071
Palabra: appearance Freq: 3 LogProb: -11.445060528553853
Palabra: appetite Freq: 6 LogProb: -10.751913347993908
Palabra: applaud Freq: 2 LogProb: -11.850525636662017
Palabra: applauds Freq: 1 LogProb: -12.543672817221962
Palabra: applause Freq: 3 LogProb: -11.445060528553853
Palabra: apple Freq: 17 LogProb: -9.710459473165747
Palabra: appliance Freq: 1 LogProb: -12.543672817221962
Palabra: applicable Freq: 3 LogProb: -11.445060528553853
Palabra: application Freq: 7 LogProb: -10.597762668166649
Palabra: applies Freq: 5 LogProb: -10.934234904787862
Palabra: apply Freq: 26 LogProb: -9.28557627920048
Palabra: appoint Freq: 6 LogProb: -10.751913347993908
Palabra: appointment Freq: 11 LogProb: -10.145777544423591
Palabra: appreciate Freq: 14 LogProb: -9.904615487606703
Palabra: appreciated Freq: 1 LogProb: -12.543672817221962
Palabra: appreciation Freq: 7 LogProb: -10.597762668166649
Palabra: approach Freq: 27 LogProb: -9.247835951217633
Palabra: appropriate Freq: 12 LogProb: -10.058766167433962
Palabra: appropriately Freq: 3 LogProb: -11.445060528553853
